0,1,2
상품명,가격,상품링크
NEXT-JUA350 USB 3.0 to HDMI 디스플레이 아답터 ,"72,840",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dB700534430&data=wlq4gjoZn5k39t1PU9kuTcEgM7LHQhVaaOMsHdx115zTxRl1MDT143Gylv4tkSG2aZN3CnJNxgiPvg%2fF3mBD7C%2fLzf2L0ky8UbSJ44fHty%2fyGhEiZebpVDNl%2fAl8xfnsIWaUrTuthf5xocmFirzXhbh75eXqFwxUHMlt8dbzjVkBHIgRi3CDzwsJISbQgmDyN2fwG2EcnOwNbPKGQ7d0Morbscd6h1bmWjD9fPMRkOnvTLr3ToCJWN6F25RKIvTJMvVBveBOuPoCuPMizNyxyJgkpWlMsMn9uYSCBAujxdtxEVAeQ0aR2taGnpT8rBcoHeaHq7yFv%2bs8dfw%2b6D8ye5RBMp924wXoBkrpf4qaGOD4sH2MJ8xy7u5vF0jwO6ZRKVtDcgROL%2b6esjjHeaXF3iGkSSzK7GhFSvXHmRg2RWEdei1KclAs7b5C867AEbhSYN9%2fVe5XHsfHFbbgTFDZW%2bKGc5FhOH0SVgbKeUyeN4EyrkFvpfaR8wgv6yF2MDn713Gjs1Vh2dejflwu%2bxj3I%2b1p7Yjna4Vlt%2fbSlt5BU0dPa2aleEkZGnl0JznPaHvxfyrJ2iy1qNgCWFqLxa4%2fP7En3MKj000lRPZudKDL6ahAxRnmgWsR3It0FWbaa2633aDygWDKST9MiWiwRmHv2kTFwlEYQbP1f7AVSJE5F55XASk5AmLlbx8ihMXUtQqxrrwLGdu9ezgDduCgyfX4uLrQ0037MGSCgbNVwRmy7rk4%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338181588372&type=1
MSI 지포스 RTX 3050 벤투스 2X OC D6 8GB (최종 36만) ,"468,000",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC595133171&data=wyF8nBF5RAO%2f3gCp78eRW5eAil8kXgVnpoidBDz3Y4vx7Kct0aBOBhqsyepeB8BozkyCJOJ%2fWZeGGwVrJudaNk%2fHZNGgMTtEXyDBou8Xzsh9HSfuEVHhZ4TBTq5UGXoiTJ111%2bwwfYvv4HdtHiWGn9CIcfrKRFD%2fwO6D6DaNcByATlpkOWN3GdbAnP2f4NH0KN8sScWT5lYTIl6IpbJi%2fB2F5SrCiXsTKbBgJebgaOaksNiY82rSfBTTpilr5w%2bzeCYA8WR9XtkLViKRnMN%2fdvOf5ppQq2emoCnw0gzXvdPV5B%2bAsdXS%2bJXrXF6cefqaCMCcd%2bZbdYA%2bbBJGdsShVirRAvQAFhGTpGF9i1jVjZV%2b5osiA0p0LtfEZUbYccAONZQJBvxTJLzodUjPsNpT0cHWuHVD2Xslr7zE6KwQt%2bZwD8HlzQqzlXs79ufRTzjAMmNp2BRGR%2fwSFr8T5eO6cu5TMiON1Hv%2fq%2bMcsas5%2bH2YGK6joV40TXeRqG5%2bXBq1KiNcy9AL9kRxEK1cx%2fjxhuSq%2bdeHbF7E4LVHVbLk%2fqdprjRrEoXRaOMVB3FkTHR6RxK0XigJiha7zCIRd%2b7F6cInkm0hnJBNyW4W1fe2uycML49QMdBQLBs0HhMTDlFEWjyYpSbq%2fNy7vI4Ul647apKZ0RE96jCe8EuHOUG2%2b%2bOTONhkTY9ZzCAQQAZts1gQutIDhAv7r3hBrcfY5funATyXWKvLmAmjrrMkpvrNa35I%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338181588373&type=1
NEXT-JUA330  USB3.0  to  DVI 외장형그래픽카드 ,"60,960",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dA907131887&data=wBOULrZ26xFHxZMHyxFp78AqnciSo%2bpvDTKB3rrHT8GyEvg%2brpw2tRij74ggP8CcpNavaSgqcEiqEqLNrnEpliLWKaafWZ1LrsavsjeYxniK5jtA7IgK1iq5%2fWffU1pHNSev3mWJl%2bvCNCwmg4flypNs%2fZwxnxdiCS3%2bNOcof28aCKXb8J32kveI0np%2bNsHxvCbzfi7yN7SRXBr0iYEwgT5LGD96P68alDbf2hhvpBiznXP4tXeC2izjhEVzKrEAJCBm%2b801lpAPZ0x6RCx6Ooep8CUdNz8fMFawwq676VOaHKy%2b7P01%2bpv5ycc8IXbHA1bMENC9yCrN1UGrouEKOxmqej6xfUwIGmakJf3X%2fKyNWmTSYNJQ%2fe47rqE76J3EXRC3OQ4aWY8Ax21R09akbePXi7JORxD6fQYRXVVGrvt%2buYyPijNc6dahWBR0CDSdcDp3qh1H4sL2l2yQVuBmkS1MDFtHqwUvNq52hveTyVhQWNTOcYTFOFIv4RA1p%2bcV%2boiNh2tPOg0tzKPK6SEFD1tF8dCjJRpVzOUw5jOUr%2bM%2bmXM8wSrZbHdsH%2f7o9%2bhL%2bqXZwJ1GABoLzJ81uSl6Qaqwm7Hg9Jjdxt7nmb9DJnu8x5kLyrWIhr5DnL%2b8CObNwXynnjp0I8F8yJreII0B0kCglN%2bQ0HTE2lwy8zYb8jmwhvRMIwbrnoYX4czZv2MBXA9HsuICscNA3sM5nYMDNQc88jpa5n6LfkoI%2bF8uxg2U1g4pfJUv6%2fg%3d%3d&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=338181588374&type=1
액슬 AXLE 지포스 GT730 클래식 D3 2GB 그래픽카드 ,"66,000",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C477754976
MSI RTX 3080 슈프림 X D6X 10GB 트라이프로져2S LHR ,"1,199,000",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C602143385
오디오지원 HDMI to RGB VGA 변환 젠더 케이블 블랙 ,"9,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B477039806
USBtoHDMI VGA RGB 외장그래픽카드 듀얼모니터 컨버터 ,"41,400",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C590707527
HDMI to VGA RGB 출력 RGV DSUB 컨버터 변환기 케이블 ,"8,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C603656520
C타입 to HDMI VGA RGB 멀티 컨버터 4K HDTV 태블릿PC ,"32,700",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C593763979
