Row Labels,연도,도시지역면적,비만율,유치원 원아수,초등학교 학생수,토지거래면적,혼인건수,노인 천명당 노인여가복지시설수,1인가구비율,등록외국인 현황,유아 천명당 보육시설수,지가변동률,출생아수,학급당 학생수,대학교수,독거노인가구비율,유치원수,인구 십만명당 문화기반시설수,인구 천명당 사설학원수,주택수,초등학교수,평균연령,빈집수,빈집지수
강원 화천군,2016,13230291,33.8,378,1159,7131,190,11.61,43.1,225,12.8,2.163,221,14.54,0,9.3,14,26.65,0.76,9349,13,42.5,209,2.1866499
충북 영동군,2017,31106651,27.8,417,1745,15329,166,18.34,34.6,558,10.0,2.086,299,16.1,1,15.7,16,17.91,0.84,20925,15,49.1,2657,11.2670681
전남 해남군,2018,57390376,37.1,534,2838,29088,284,21.04,34.4,1379,8.4,3.237,533,16.86,0,20.0,22,13.73,0.89,30404,20,50.3,4162,12.0407337
경북 구미시,2016,185781767,27.2,10366,26891,15345,2618,8.03,30.2,5601,17.7,2.44,4286,25.81,3,3.8,99,2.62,2.01,133737,48,36.4,10869,7.5162856
인천 강화군,2016,17306615,36.7,617,2495,9819,219,8.87,27.8,775,10.2,1.096,276,17.34,1,13.1,21,14.7,0.74,26660,22,50.6,3495,11.590117699999999
부산 기장군,2018,221563954,33.0,3498,10937,6028,772,8.13,25.6,2035,15.4,6.846,1368,24.65,0,7.4,35,4.285,1.16,58705,21,40.4,4592,7.2546881999999995
경기 광명시,2017,38506472,26.1,4274,19436,1377,1722,2.02,20.9,5843,19.1,3.562,2374,26.16,0,5.6,51,3.0,1.67,103564,24,40.2,2092,1.9800106000000002
강원 횡성군,2017,9918922,30.3,278,1694,16645,172,11.79,30.5,631,18.1,3.508,174,14.65,2,13.1,13,12.96,0.99,18546,16,49.5,2513,11.9331402
충남 보령시,2017,35324504,26.0,1155,4726,14353,444,12.47,30.5,2803,16.0,2.319,539,18.99,1,12.2,33,10.66,1.27,42559,29,46.3,5487,11.4203055
충남 아산시,2016,83489213,25.4,5310,20189,15334,1973,10.56,28.6,14670,19.1,2.206,3441,25.31,3,5.7,58,5.28,1.3,108957,44,37.3,9450,7.980947100000001
대전 동구,2017,120563321,32.6,2772,11794,3323,1039,3.03,36.6,4210,19.8,2.873,1409,22.9,4,7.7,38,5.21,0.98,76777,23,41.5,3617,4.499092
인천 동구,2017,7616305,30.7,1032,4015,128,310,2.16,25.7,900,19.2,2.205,430,22.82,1,10.1,13,5.76,0.65,25063,8,44.2,10126,28.776038
충남 부여군,2016,43391336,28.7,571,2586,10688,237,17.11,30.4,1175,14.9,1.748,292,16.66,1,16.9,28,11.4,0.81,28546,25,50.0,2730,8.7287377
전북 전주시,2017,197627900,25.5,11016,38417,8491,2911,4.99,29.3,7153,19.8,3.929,4298,26.14,7,6.5,125,5.55,3.12,215040,71,40.1,15688,6.799348199999999
대전 대덕구,2017,68419960,27.7,2862,9577,1322,842,3.34,29.5,2303,21.0,3.083,1118,22.14,2,6.5,33,5.89,1.36,60584,21,41.0,3239,5.074973
경남 의령군,2017,15591845,35.2,156,802,8710,84,24.07,40.2,775,13.8,2.543,132,11.71,0,24.7,10,17.95,0.68,13108,14,53.1,2306,14.960425599999999
부산 북구,2017,39434038,25.5,4542,13403,608,1357,2.6,24.5,1829,14.8,4.78,2113,23.9,1,7.8,36,2.97,1.35,104480,27,42.3,5241,4.7766608
전남 담양군,2016,133448080,28.4,356,1428,33898,156,20.71,30.1,1071,7.6,3.129,314,18.42,1,16.4,15,16.94,0.34,17122,14,48.9,2232,11.5324997
대구 남구,2016,17435147,25.9,1744,5036,370,830,1.53,37.7,1124,10.8,4.203,879,24.65,2,9.6,16,2.56,0.89,42045,11,45.1,2160,4.8863251000000005
경북 울진군,2016,47894455,28.4,245,2174,11513,259,15.34,36.0,1236,10.4,2.567,303,18.09,0,16.9,15,13.53,1.08,23196,13,47.6,3779,14.0092678
부산 영도구,2018,56165682,34.3,925,4051,439,413,2.1,33.6,1595,14.7,3.694,404,20.58,2,13.3,13,6.13,0.67,46334,14,47.0,4327,8.5410868
강원 양양군,2016,10736875,29.1,223,984,5374,99,13.17,33.8,297,13.0,3.367,133,13.17,0,13.3,15,18.37,0.77,12083,14,49.5,2174,15.248649799999999
인천 부평구,2016,31987758,25.9,6730,26605,1035,3064,2.19,23.3,10933,14.5,1.415,4537,24.75,0,5.4,69,2.18,1.24,175123,42,40.4,8571,4.6659118
대전 서구,2017,73093288,22.7,8155,26732,2012,2584,2.58,30.7,3327,19.6,3.336,3522,25.03,3,4.6,81,2.26,1.78,147097,38,39.1,6994,4.5388763999999995
경기 가평군,2017,81889445,29.3,374,2651,22183,269,8.2,32.3,1043,16.6,2.303,362,19.46,0,11.5,16,15.88,1.02,24390,13,47.1,3219,11.6592416
